0.2,302,259,20187.11,-10.76,13.5,3.285154633,302,259,13346.95,-10.31,13.3,3.085154633
0.03,146,508,69135.38,-12.1,12.16,1.945154633,146,508,38963.23,-11.48,12.13,1.915154633
0.04,64,637,101420.1,-12.52,11.74,1.525154633,64,637,57871.17,-11.91,11.7,1.485154633
0.16,306,474,17969.43,-10.64,13.62,3.405154633,306,474,11516.57,-10.15,13.46,3.245154633
-0.01,625,603,227683.2,-13.39,10.87,0.655154633,625,603,124076.7,-12.73,10.88,0.665154633
0.35,13,495,619919.6,-14.48,9.78,-0.434845367,13,495,470017,-14.18,9.43,-0.784845367
0.07,656,109,31044.06,-11.23,13.03,2.815154633,656,109,18271.79,-10.65,12.96,2.745154633
0.02,381,375,70447.17,-12.12,12.14,1.925154633,381,375,39521.54,-11.49,12.12,1.905154633
0.1,209,276,35558.48,-11.38,12.88,2.665154633,209,276,21432.62,-10.83,12.78,2.565154633
0.17,243,287,22534.53,-10.88,13.38,3.165154633,243,287,14395.71,-10.4,13.21,2.995154633
0.12,294,612,30183.87,-11.2,13.06,2.845154633,294,612,18577.55,-10.67,12.94,2.725154633
0.02,322,362,137722.7,-12.85,11.41,1.195154633,322,362,77029.07,-12.22,11.39,1.175154633
0.06,357,370,83389.54,-12.3,11.96,1.745154633,357,370,48371.08,-11.71,11.9,1.685154633
0.21,385,466,20869.54,-10.8,13.46,3.245154633,385,466,13925.59,-10.36,13.25,3.035154633
0.14,222,562,35464.67,-11.37,12.89,2.675154633,222,562,22171.61,-10.86,12.75,2.535154633
0.15,470,248,33248.33,-11.3,12.96,2.745154633,470,248,20828.38,-10.8,12.81,2.595154633
0.12,475,294,25286.07,-11.01,13.25,3.035154633,475,294,15600.24,-10.48,13.13,2.915154633
0.16,489,328,27067.67,-11.08,13.18,2.965154633,489,328,17270.05,-10.59,13.02,2.805154633
0.13,636,212,29131.18,-11.16,13.1,2.885154633,636,212,17970.79,-10.64,12.97,2.755154633
0.14,508,41,83473.29,-12.3,11.96,1.745154633,508,41,51846.57,-11.79,11.82,1.605154633
